observation_date,UNEMPLOY
1948-01-01,2254
1948-04-01,2239
1948-07-01,2288
1948-10-01,2324
1949-01-01,2825
1949-04-01,3581
1949-07-01,4118
1949-10-01,4325
1950-01-01,3946
1950-04-01,3459
1950-07-01,2898
1950-10-01,2618
1951-01-01,2182
1951-04-01,1923
1951-07-01,1983
1951-10-01,2111
1952-01-01,1914
1952-04-01,1853
1952-07-01,2005
1952-10-01,1750
1953-01-01,1707
1953-04-01,1642
1953-07-01,1715
1953-10-01,2334
1954-01-01,3338
1954-04-01,3689
1954-07-01,3813
1954-10-01,3421
1955-01-01,3015
1955-04-01,2832
1955-07-01,2698
1955-10-01,2790
1956-01-01,2679
1956-04-01,2798
1956-07-01,2763
1956-10-01,2741
1957-01-01,2642
1957-04-01,2722
1957-07-01,2829
1957-10-01,3317
1958-01-01,4223
1958-04-01,4994
1958-07-01,4975
1958-10-01,4316
1959-01-01,3945
1959-04-01,3493
1959-07-01,3630
1959-10-01,3855
1960-01-01,3557
1960-04-01,3652
1960-07-01,3889
1960-10-01,4400
1961-01-01,4785
1961-04-01,4927
1961-07-01,4762
1961-10-01,4348
1962-01-01,3958
1962-04-01,3871
1962-07-01,3931
1962-10-01,3911
1963-01-01,4128
1963-04-01,4083
1963-07-01,3962
1963-10-01,4038
1964-01-01,3970
1964-04-01,3832
1964-07-01,3658
1964-10-01,3643
1965-01-01,3604
1965-04-01,3471
1965-07-01,3257
1965-10-01,3082
1966-01-01,2898
1966-04-01,2883
1966-07-01,2858
1966-10-01,2827
1967-01-01,2924
1967-04-01,2939
1967-07-01,2949
1967-10-01,3076
1968-01-01,2919
1968-04-01,2796
1968-07-01,2779
1968-10-01,2696
1969-01-01,2707
1969-04-01,2762
1969-07-01,2921
1969-10-01,2930
1970-01-01,3430
1970-04-01,3929
1970-07-01,4296
1970-10-01,4855
1971-01-01,4959
1971-04-01,4968
1971-07-01,5070
1971-10-01,5090
1972-01-01,4995
1972-04-01,4935
1972-07-01,4900
1972-10-01,4673
1973-01-01,4391
1973-04-01,4384
1973-07-01,4320
1973-10-01,4343
1974-01-01,4670
1974-04-01,4750
1974-07-01,5174
1974-10-01,6100
1975-01-01,7666
1975-04-01,8288
1975-07-01,7993
1975-10-01,7812
1976-01-01,7363
1976-04-01,7235
1976-07-01,7463
1976-10-01,7532
1977-01-01,7343
1977-04-01,7035
1977-07-01,6835
1977-10-01,6655
1978-01-01,6381
1978-04-01,6112
1978-07-01,6171
1978-10-01,6084
1979-01-01,6130
1979-04-01,5956
1979-07-01,6169
1979-10-01,6286
1980-01-01,6705
1980-04-01,7813
1980-07-01,8222
1980-10-01,7943
1981-01-01,8035
1981-04-01,8047
1981-07-01,8043
1981-10-01,8981
1982-01-01,9666
1982-04-01,10372
1982-07-01,10982
1982-10-01,11839
1983-01-01,11496
1983-04-01,11223
1983-07-01,10484
1983-10-01,9572
